IdPasajero;Idbus;FilaAsiento;LetraAsiento;FechaCompraBoleto;IdViaje
1;1;1;"A ";2017-01-01;1
1;1;1;"B ";2017-01-01;1
1;1;1;"C ";2017-01-01;1
1;1;1;"D ";2017-01-01;1
2;1;2;"A ";2017-02-05;2
2;1;2;"B ";2017-02-05;2
3;2;2;"A ";2017-03-17;3
4;3;1;"B ";2017-05-15;4
5;4;3;"C ";2017-07-25;5
2;1;3;"A ";2017-02-05;2
2;1;3;"B ";2017-02-05;2
2;1;1;"A ";2017-02-05;2
2;1;1;"B ";2017-02-05;2
4;3;4;"B ";2017-01-09;255
10;1;1;"A ";2017-01-01;100
11;1;1;"B ";2017-01-01;100
12;1;1;"C ";2017-01-01;100
13;1;1;"D ";2017-01-01;100
14;1;2;"A ";2017-02-05;100
15;1;2;"A ";2017-02-05;101
4;3;2;"A ";2021-09-15;7
4;1;4;"C ";2021-09-22;8
4;3;3;"A ";2021-09-05;9
4;3;2;"A ";2021-09-05;9
